step_number;time_stamp;limb_initial;limb_final;step_width;step_length;step_time;target_error;message
75;59.083440539557;R;L;0.20358311536891;0.41387020120525;0.68666666666604;-1;free
76;59.796773872889;L;R;0.20967698629513;0.4760927068699;0.81333333333259;-1;free
77;60.620107206222;R;L;0.19761199011483;0.46227122421161;0.75666666666601;-1;Pert: fwiw (R)
78;61.36360795512;L;R;0.4068566455575;0.67529748010517;0.8466666666659;-1;action
79;62.078989237469;R;L;0.42230466475264;0.26082906482541;0.62221536458156;0.03767267245076;target hit
80;62.848989237469;L;R;0.22109992886996;0.44247325315362;0.80999999999926;-1;free
81;63.562322570801;R;L;0.19557586180995;0.41597567214867;0.70333333333269;-1;free
82;64.332322570801;L;R;0.18412589647813;0.44674102029695;0.75666666666598;-1;free
83;65.128989237467;R;L;0.19176949142915;0.46473959636582;0.75666666666598;-1;free
84;66.020854759835;L;R;0.16698462993326;0.47573040561557;0.84999999999923;-1;free
85;66.927080826547;R;L;0.17816908459238;0.48998558234122;0.82186552236834;-1;free
86;67.857954237414;L;R;0.20201312408344;0.57211505811355;0.95955940004558;-1;Pert: fwiw (L)
87;68.69462090408;R;L;0.35400485517134;0.74747885113075;0.94420674420053;-1;action
88;69.557954237413;L;R;0.37331690859349;0.39650642995721;0.80999999999926;0.041940196112756;target hit
89;70.353330996147;R;L;0.20634070591472;0.45816285491706;0.86276621621175;-1;free
90;71.152277616229;L;R;0.20237074094497;0.48540722875626;0.82489049593772;-1;free
91;72.028944282895;R;L;0.19422122324546;0.47441581096534;0.82333333333258;-1;free
92;72.838944282894;L;R;0.19777821579745;0.46756782331348;0.84999999999923;-1;free
93;73.742277616227;R;L;0.20300747021315;0.54565934066661;0.79666666666594;-1;free
94;74.568123004088;L;R;0.17941595809015;0.57270315356456;0.95917872119418;-1;free
95;75.29720174869;R;L;0.17895960383761;0.47633153314483;0.7699999999993;-1;free
96;76.147201748689;L;R;0.21115035773398;0.42134835912644;0.71574541126887;-1;free
97;77.010535082022;R;L;0.20828256222854;0.52951743984102;0.86333333333255;-1;free
98;77.833868415354;L;R;0.2040727327078;0.47079782628892;0.86333333333255;-1;free
99;78.577201748687;R;L;0.18393354768545;0.52405927944072;0.79666666666594;-1;Pert: fwow (R)
100;78.913868415353;L;R;0.031655621217552;0.63929171228309;0.71666666666601;-1;action
101;79.683868415353;R;R;0.17148139698242;0.047999999999888;0.079999999999927;0.028175741932149;target hit
102;80.857201748685;R;L;0.23387577138284;0.13445863647301;1.1466666666656;-1;free
103;81.653868415351;L;R;0.24028554571209;0.95976050700992;1.0666666666657;-1;free
104;82.42386841535;R;L;0.21541590815248;0.50397919244649;0.83666666666591;-1;free
105;83.180194470985;L;R;0.20263542789615;0.42864724731343;0.72999999999934;-1;free
106;84.016861137651;R;L;0.22130678708213;0.46122566878079;0.75632605563504;-1;free
107;84.786346076736;L;R;0.20747126720139;0.51106290234647;0.84948493908502;-1;free
108;85.556346076735;R;L;0.20434468878419;0.46270879239928;0.7699999999993;-1;free
109;86.336346076735;L;R;0.22223401862516;0.46145006370439;0.75666666666598;-1;free
110;87.123012743401;R;L;0.23573119464493;0.49422758483775;0.79666666666594;-1;free
111;87.9330127434;L;R;0.19873082200124;0.46031178207287;0.79333333333261;-1;free
112;88.753012743399;R;L;0.19230845881879;0.46216813573731;0.75999999999931;-1;Pert: fw (R)
113;89.779679410065;L;R;0.21189877992392;0.77507211809036;0.87666666666587;-1;action
114;90.523012743398;R;L;0.22902633043195;0.41201558265544;1.0133333333324;0.037000382227806;target hit
115;91.30634607673;L;R;0.25878299119057;0.42674342975515;0.72666666666601;-1;free
116;92.076346076729;R;L;0.25376652528952;0.46507533883937;0.79666666666594;-1;free
117;92.873012743395;L;R;0.22129206160054;0.44747706050767;0.75666666666598;-1;free
118;93.736346076728;R;L;0.2090990528649;0.49219931564216;0.82333333333258;-1;free
119;94.491281263662;L;R;0.18409796714045;0.52183352184181;0.82333333333258;-1;free
120;95.287947930328;R;L;0.18697174561041;0.42396451544224;0.75826852026785;-1;free
121;96.030297101443;L;R;0.19499580124289;0.47939029108507;0.82032696623094;-1;free
122;96.800297101442;R;L;0.17945576899975;0.43355431461702;0.72868887154976;-1;Pert: fwow (R)
123;97.153630434775;L;R;0.029477889037275;0.73049482641108;0.79999999999927;-1;action
124;97.854458395188;R;R;0.23067419028486;0.031999999999925;0.053333333333285;0.011258935398817;target hit
125;98.974458395187;R;L;0.26307304204542;0.13611506676644;1.0508279604127;-1;free
126;99.811125061853;L;R;0.21870912162805;0.92451034078449;1.0666666666657;-1;free
127;100.53937734507;R;L;0.22841413595786;0.43453025655631;0.82333333333258;-1;free
128;101.30944886392;L;R;0.20888067092335;0.46753139378917;0.75491894988147;-1;free
129;102.11944886392;R;L;0.19890052067953;0.47610569255131;0.77007151885567;-1;free
130;102.84944886392;L;R;0.16767997106524;0.5118605903614;0.82333333333258;-1;free
131;103.63278219726;R;L;0.18330998284582;0.39147624540236;0.66333333333273;-1;free
132;104.44198544706;L;R;0.21421818230122;0.50510049564061;0.835869916467;-1;free
133;105.18531878039;R;L;0.21541291715356;0.45060453910716;0.79666666666594;-1;free
134;105.99531878039;L;R;0.21674118224264;0.46504240379231;0.72999999999934;-1;Pert: fw (L)
135;106.92531878039;R;L;0.20092907440336;0.67757592382314;0.83666666666591;-1;action
136;107.68262573376;L;R;0.25212625933626;0.35429975910062;0.88999999999919;0.070133040643482;target hit
137;108.42595906709;R;L;0.23328980267843;0.49603123175068;0.78397362004102;-1;free
138;109.19552773435;L;R;0.22357202503844;0.41270125017066;0.71666666666601;-1;free
139;109.92219440101;R;L;0.23050533704026;0.4665262540802;0.80956866725143;-1;free
140;110.72219440101;L;R;0.21952311188332;0.40048840932752;0.67333333333272;-1;free
141;111.52820450695;R;L;0.21842658348905;0.51580706214789;0.82666666666591;-1;free
142;112.31118478669;L;R;0.19472073006685;0.48049480572334;0.8493434392721;-1;free
143;113.03938946715;R;L;0.17610156948801;0.45749483746015;0.75298027974014;-1;Pert: fwow (R)
144;113.37915299128;L;R;0.0014226981833518;0.64575138517253;0.7046348712592;-1;action
145;113.85248632461;R;L;-0.22992368347672;-0.094474706745227;0.056666666666615;0.0097264508998222;target hit
146;115.35248632461;L;L;0.22384691576896;0.31923859596083;1.2133333333322;-1;free
147;116.14581965795;L;R;0.19413744750547;0.98907816543426;1.0933333333323;-1;free
148;116.88915299128;R;L;0.26598205541864;0.4420594128598;0.76666666666597;-1;free
149;117.65927758276;L;R;0.21906127014497;0.4472125526252;0.73012459148117;-1;free
150;118.44261091609;R;L;0.21346704633245;0.44232536125077;0.75666666666598;-1;free
151;119.25261091609;L;R;0.22549052404978;0.49417076034434;0.79666666666594;-1;free
152;120.06261091609;R;L;0.19992726782096;0.46418570947536;0.79666666666594;-1;free
153;120.81927758276;L;R;0.20152791399175;0.49360776386142;0.84999999999923;-1;free
154;121.58594424942;R;L;0.19557417500029;0.46817235507865;0.71333333333268;-1;free
155;122.34261091609;L;R;0.20078048676749;0.4485906375874;0.78666666666595;-1;free
156;123.12594424942;R;L;0.19871854122188;0.49306868419538;0.77999999999929;-1;free
157;123.92261091609;L;R;0.1734500224593;0.46591358108415;0.75666666666598;-1;Pert: fwow (L)
158;124.79927758275;R;L;-0.030044662148931;0.57619654025918;0.80999999999926;-1;action
159;125.52927758275;L;R;-0.11148764021175;0.48260578451043;0.80999999999926;0.055089906636267;target hit
160;126.2838581526;R;L;0.18246201499305;0.42264883241548;0.75666666666598;-1;free
161;127.10719148593;L;R;0.31817873492314;0.45798920961517;0.81124723650953;-1;free
162;127.90385815259;R;L;0.21955537417146;0.41299351405986;0.79333333333261;-1;free
163;128.75570606405;L;R;0.20325038864589;0.46875620269664;0.79999999999927;-1;free
164;129.53903939738;R;L;0.19468955719411;0.53551016393543;0.88851457811916;-1;free
165;130.50957090962;L;R;0.21894522716893;0.45597191418536;0.77053151224374;-1;Pert: iw (L)
166;131.27957090962;R;L;0.49991515472576;0.63904489383554;1.0266666666657;-1;action
167;132.07623757629;L;R;0.47108299211751;0.48899017496011;0.69999999999936;0.016687480577098;target hit
168;132.81957090962;R;L;0.20062096924819;0.3301853944768;0.74333333333266;-1;free
169;133.64290424295;L;R;0.19867822725435;0.49784551553617;0.78333333333262;-1;free
170;134.45290424295;R;L;0.18445735157579;0.46696856889611;0.80999999999926;-1;free
171;135.24957090962;L;R;0.15664699316812;0.49348895587808;0.80999999999926;-1;free
172;136.08623757628;R;L;0.16968361457336;0.49660845384483;0.82333333333258;-1;free
173;136.96290424295;L;R;0.17655165568659;0.53097240304826;0.86333333333255;-1;free
174;137.75865536682;R;L;0.1767504028159;0.48582023942699;0.82241779053709;-1;free
175;138.65198870015;L;R;0.1670542521415;0.50138756008029;0.85333333333256;-1;Pert: fw (L)
176;139.73034771931;R;L;0.17221055432228;0.76329329776636;0.91666666666583;-1;action
177;140.58086767078;L;R;0.21062408761217;0.42551041984475;1.0455456372898;0.075769186247039;target hit
178;141.39099340288;R;L;0.1889666332751;0.5444302418697;0.84333333333257;-1;free
179;142.14766006954;L;R;0.18233176271794;0.43860754117741;0.81012573210137;-1;free
180;142.98464299405;R;L;0.20394639020745;0.46402699387328;0.71698292450634;-1;free
181;143.86370239357;L;R;0.20705801216764;0.50757322172977;0.91572606619093;-1;free
182;144.69755800987;R;L;0.17227992642524;0.5296626901615;0.82666666666591;-1;free
183;145.5208913432;L;R;0.19129252817588;0.46243520529556;0.81052228296392;-1;free
184;146.37088749182;R;L;0.20045504730065;0.48635550241357;0.80999999999926;-1;Pert: fw (R)
185;147.33088749182;L;R;0.16646102178467;0.78392197725391;0.92999614862094;-1;action
186;148.14088749182;R;L;0.20578291326932;0.37985278634904;0.86333333333255;0.074366293837172;target hit
187;149.00557924347;L;R;0.23232662295821;0.5040692654597;0.90666666666584;-1;free
188;149.80224591014;R;L;0.21866926940196;0.46124570351141;0.86135841831515;-1;free
189;150.6389125768;L;R;0.21481266931962;0.47716468734634;0.7699999999993;-1;free
190;151.5289125768;R;L;0.21742635422055;0.4892446748722;0.82333333333258;-1;free
191;152.2989125768;L;R;0.18904209218837;0.53972867746229;0.88999999999919;-1;free
192;153.0689125768;R;L;0.17566387428149;0.47792302188763;0.78666666666595;-1;free
193;153.8789125768;L;R;0.19713576966233;0.44628506288423;0.75333333333265;-1;free
194;154.75780854963;R;L;0.23249725885245;0.50430516821068;0.76889597282781;-1;Pert: fwiw (R)
195;155.56780854963;L;R;0.4079265331587;0.69650896816123;0.93333333333248;-1;action
196;156.40447521629;R;L;0.41256449520662;0.35509859943284;0.75666666666598;0.030140700276618;target hit
197;157.21447521629;L;R;0.22341867598225;0.45879304284927;0.87666666666587;-1;free
198;158.01114188296;R;L;0.2150984735572;0.46076829471475;0.80999999999926;-1;free
199;158.87380766842;L;R;0.21176470866549;0.48157656621822;0.79666666666594;-1;free
200;159.61714100175;R;L;0.20834335926029;0.5287338115618;0.86266578546042;-1;free
201;160.4259187044;L;R;0.21791011855184;0.48945173015489;0.75666666666598;-1;free
202;161.24925203774;R;L;0.23018464521437;0.41476913776575;0.78211103598682;-1;free
203;162.11484358344;L;R;0.21011332156694;0.52459437341573;0.83666666666591;-1;free
204;162.85484358344;R;L;0.1893015010241;0.54146044347163;0.87892487903355;-1;free
205;163.70817691677;L;R;0.18749822049923;0.44430481395624;0.69999999999936;-1;free
206;164.51817691677;R;L;0.18902724017327;0.5081510536181;0.91999999999916;-1;free
207;165.32817691677;L;R;0.17163817229291;0.52579714670066;0.82333333333258;-1;free
208;166.08139553644;R;L;0.20898813376312;0.47259736471065;0.79666666666594;-1;Pert: fw (R)
209;167.0280622031;L;R;0.23128979608754;0.63165451364862;0.71655195300457;-1;action
210;167.82579624911;R;L;0.23554038430797;0.36063964919919;0.88999999999919;0.06041136656716;target hit
211;168.57934805012;L;R;0.2309685540188;0.50107944670757;0.86440071266742;-1;free
212;169.38934805012;R;L;0.23066382051771;0.42993730028041;0.74021846767977;-1;free
213;170.14601471678;L;R;0.21675512002925;0.48998950233348;0.79666666666594;-1;free
214;170.98268138345;R;L;0.23027945875853;0.42767468309299;0.74333333333266;-1;free
215;171.80960371083;L;R;0.22579815767895;0.52093775644182;0.86333333333255;-1;free
216;172.56274600263;R;L;0.18992273061329;0.50146561785737;0.81025566071054;-1;Pert: ow (R)
217;173.2794126693;L;R;0.20664321862892;0.58302875515061;0.72980895846916;-1;action
218;174.73614726702;R;R;-0.20141231858784;0.20538366883021;1.1767345977279;0.063699539618594;target hit
219;175.55971109246;R;L;-0.23509884870171;0.99856771278233;1.0633333333324;-1;free
220;176.32910407819;L;R;-0.22725152375767;0.47421152032223;0.82629014449776;-1;free
221;177.08577074485;R;R;0.2320661199436;0.46826970195671;0.71333333333268;-1;free
222;177.86859301372;R;L;0.2375019747067;0.40930569982425;0.74333333333266;-1;free
223;178.65192634705;L;R;0.2255053860428;0.51385077537359;0.83615560219903;-1;free
224;179.43525968038;R;L;0.22900457709733;0.42773339767354;0.72999999999934;-1;free
225;180.20387942431;L;R;0.20437861562442;0.52143292223363;0.83528641059365;-1;free
226;180.98721275764;R;L;0.2117867290926;0.40475848646062;0.72999999999934;-1;free
227;181.78387942431;L;R;0.23378700716618;0.48500824956781;0.80999999999926;-1;free
228;182.55387942431;R;L;0.20486321393557;0.53737600593449;0.83999999999924;-1;free
229;183.29721275764;L;R;0.19813961047926;0.46544373140235;0.71333333333268;-1;free
230;184.14805498011;R;L;0.23767691833895;0.39955366588474;0.74084222246711;-1;Pert: fwiw (R)
231;184.9539881068;L;R;0.43404148608627;0.71476930699627;0.89259979336055;-1;action
232;185.7239881068;R;L;0.42519579792955;0.27818981895349;0.69999999999936;0.010729067433435;target hit
233;186.50732144013;L;R;0.21918742293281;0.47775992832061;0.8799999999992;-1;free
234;187.23732144013;R;L;0.23260027370686;0.44585765190017;0.7699999999993;-1;free
235;188.00732144013;L;R;0.22755355875956;0.43139837198163;0.67333333333272;-1;free
236;188.8039881068;R;L;0.21305933020417;0.43429151162992;0.78333333333262;-1;free
237;189.57134010008;L;R;0.1984906330805;0.52821518623734;0.79735199328218;-1;free
238;190.42467343341;R;L;0.19831196406501;0.43145226650128;0.78333333333262;-1;free
239;191.23467343341;L;R;0.20239592637046;0.57352658567306;0.87666666666587;-1;free
240;192.1532085636;R;L;0.22095164767217;0.40448246106996;0.75666666666598;-1;Pert: iw (R)
241;192.8132085636;L;R;0.52809840857902;0.63321332884212;0.99853513019059;-1;action
242;193.56987523027;R;L;0.50478246207876;0.32061332635802;0.55333333333283;0.020975053321698;target hit
243;194.37987523027;L;R;0.23247799791283;0.49693656501653;0.83666666666591;-1;free
244;195.17747139554;R;L;0.23688890380281;0.46380077043202;0.81092949860454;-1;free
245;195.95747139554;L;R;0.18101136511597;0.49065127849469;0.78333333333262;-1;free
246;196.77080472887;R;L;0.18645804301049;0.4535283223141;0.79666666666594;-1;free
247;197.5241380622;L;R;0.19975496311904;0.45824786376847;0.75666666666598;-1;free
248;198.3341380622;R;L;0.18265998864272;0.47543024129757;0.79333333333261;-1;free
249;199.2141380622;L;R;0.22023071397633;0.50724872379188;0.82333333333258;-1;Pert: fwiw (L)
250;200.07747139553;R;L;0.3926138564154;0.69147449216718;0.89333333333252;-1;action
251;200.79080472887;L;R;0.41254314903955;0.37866624421962;0.79666666666594;0.019816389050109;target hit
252;201.52140302586;R;L;0.22763573024666;0.41092877199447;0.76726496366427;-1;free
253;202.28806969253;L;R;0.21945498806108;0.40967239932919;0.67666666666605;-1;free
254;203.18140302586;R;L;0.21081237711279;0.4846475696552;0.83666666666591;-1;free
255;204.01725785065;L;R;0.18281472647913;0.52491082730367;0.90252149145056;-1;free
256;204.74610689011;R;L;0.16400784343909;0.48469096765407;0.79666666666594;-1;free
257;205.56944022344;L;R;0.1803601419764;0.46268467697374;0.74218237279746;-1;free
258;206.44610689011;R;L;0.20105934517439;0.47233787431602;0.82333333333258;-1;Pert: ow (R)
259;207.49936508835;L;R;0.22364909187381;0.55104951648601;0.79666666666594;-1;action
260;208.24269842168;R;L;0.18203041182499;0.6275963882309;1.13325819824;0.11046404057803;target hit
261;209.02603175502;L;R;0.24172676968397;0.48772189750569;0.72999999999934;-1;free
262;209.84997986037;R;L;0.24899522456662;0.42274437866101;0.78333333333262;-1;free
263;210.65884772249;L;R;0.20480974235556;0.49378643914617;0.81061477202547;-1;free
264;211.45551438915;R;L;0.21055016325332;0.50281989319617;0.83886786211144;-1;free
265;212.29232287895;L;R;0.17456925430765;0.48049370326887;0.77999999999929;-1;free
266;213.07565621228;R;L;0.17205714869776;0.48027120628301;0.84014182313308;-1;free
267;213.88565621228;L;R;0.17701969966423;0.48292538680923;0.7699999999993;-1;free
268;214.61565621228;R;L;0.21086310476304;0.48449206380729;0.81999999999925;-1;free
269;215.53232287895;L;R;0.22246265434938;0.43855758609831;0.70333333333269;-1;Pert: iw (L)
270;216.28835298703;R;L;0.49683197362582;0.50973425674714;0.95999999999913;-1;action
271;217.0850196537;L;R;0.42970630160208;0.56144286343782;0.76936344141882;0.014428479012707;target hit
272;217.8550196537;R;L;0.20776007997343;0.39158120546545;0.71333333333268;-1;free
273;218.59735491927;L;R;0.23109602721151;0.47910857887508;0.83666666666591;-1;free
274;219.40804200849;R;L;0.19545793104209;0.44582972589373;0.71566859890027;-1;free
275;220.20470867515;L;R;0.20606017623327;0.46142936130787;0.82402042255376;-1;free
276;220.96137534182;R;L;0.18688812737436;0.47612324247577;0.75666666666598;-1;free
277;221.72804200848;L;R;0.17842353410345;0.48650236482848;0.79666666666594;-1;free
278;222.49804200848;R;L;0.17251868279506;0.46843901062228;0.75666666666598;-1;free
279;223.35137534182;L;R;0.15882796635643;0.48340616445769;0.79333333333261;-1;Pert: ow (L)
280;223.93137534182;R;L;-0.00088575171058647;0.39467423486919;0.72999999999934;-1;action
281;224.5531429062;L;R;-0.26550106709655;0.34092327308802;0.51333333333287;0.10065148710115;target hit
282;225.30647623954;R;L;0.13561317607046;0.49869718976965;0.82510089772063;-1;free
283;225.9831429062;L;R;0.44610273576406;0.33072726106837;0.67333333333272;-1;free
284;226.76647623953;R;L;0.21434183544746;0.49890258236141;0.72999999999934;-1;free
285;227.51980957287;L;R;0.22574561663891;0.40045362777927;0.75666666666598;-1;free
286;228.33073459242;R;L;0.2137065023721;0.52332028005887;0.78425835288402;-1;free
287;229.07406792575;L;R;0.19697408327629;0.45799318342432;0.77999999999929;-1;free
288;229.85740125908;R;L;0.18850102250791;0.44313784246654;0.72999999999934;-1;free
289;230.61073459242;L;R;0.17477137302735;0.46438395900962;0.82333333333258;-1;free
290;231.39797377971;R;L;0.17778834914627;0.47647520571398;0.74250568581294;-1;free
291;232.2994341534;L;R;0.19808384583902;0.46548533517384;0.79546283072244;-1;Pert: fwiw (L)
292;233.15276748673;R;L;0.38983181526512;0.67682170152596;0.88073104444533;-1;action
293;233.89399870236;L;R;0.39964411405144;0.43934846565238;0.87569940140537;0.028067590849603;target hit
294;234.64844323846;R;L;0.19739078750999;0.41965257512574;0.72997635032738;-1;free
295;235.4317765718;L;R;0.20336072523196;0.46319724645839;0.78333333333262;-1;free
296;236.14844323846;R;L;0.20540216593555;0.42953426981192;0.76666666666597;-1;free
297;236.94510990513;L;R;0.17570305967148;0.48293824959014;0.74333333333266;-1;free
298;237.71511405233;R;L;0.19815484555487;0.40036830158447;0.74333333333266;-1;free
299;238.49511405233;L;R;0.19789484539078;0.46361904830785;0.78333748053819;-1;free
300;239.241780719;R;L;0.17366933558577;0.51505169267879;0.78333333333262;-1;free
301;239.99576955208;L;R;0.20492107365423;0.44243700371009;0.7699999999993;-1;free
302;240.85910288542;R;L;0.23050823818078;0.43846716097587;0.72732216641884;-1;Pert: iw (R)
303;241.5602272684;L;R;0.44933367885509;0.56941851673385;0.90333333333251;-1;action
304;242.30356060173;R;L;0.46106694027726;0.37448195143454;0.62112438298112;0.02386157163398;target hit
305;243.07306922367;L;R;0.22810148218883;0.4498221193645;0.79719778542835;-1;free
306;243.88306922367;R;L;0.20825254170324;0.47627621186073;0.79564416984761;-1;free
307;244.586402557;L;R;0.17936233692333;0.45904864664295;0.75666666666598;-1;free
308;245.40973589034;R;L;0.19238873035161;0.43640367422313;0.72999999999934;-1;free
309;246.15306922367;L;R;0.20536463844709;0.45531689653625;0.79666666666594;-1;free
310;246.97306922367;R;L;0.18773779947113;0.4430783127806;0.74333333333266;-1;free
311;247.72973589033;L;R;0.15953060261565;0.51260405597926;0.83666666666591;-1;Pert: fwow (L)
312;247.99973589033;R;L;0.036084515056928;0.50069022541243;0.68666666666604;-1;action
313;248.45816415659;L;R;-0.0035609108513052;-0.049838341522093;0.043333333333294;0.092455930770698;target hit
314;249.1209300618;R;L;0.12231362027391;0.50194770110117;0.68842826625104;-1;free
315;249.90426339514;L;R;-0.13529574071673;0.46914102001216;0.73943257188432;-1;free
316;250.68759672847;R;L;-0.33220847995409;0.40830469637138;0.7699999999993;-1;free
317;251.4709300618;L;R;-0.22632506830451;0.44570409822696;0.80999999999926;-1;free
318;252.2009300618;R;R;0.21503656488485;0.45229642963626;0.75666666666598;-1;free
319;252.97000042572;R;L;0.20942781630738;0.44910342874744;0.75666666666598;-1;free
320;253.76333375905;L;R;0.22005808592267;0.46903926091408;0.75573703058495;-1;free
