step_number;time_stamp;limb_initial;limb_final;step_width;step_length;step_time;target_error;message
1;1.8572035643934;R;R;0.12384370540582;0.093189633336421;0.33666666666636;-1;free
2;2.623962997929;R;L;0.2199163979165;0.45956174964836;0.98666666666577;-1;free
3;3.3939629979283;L;R;0.26028163092807;0.43258291825978;0.71342610020224;-1;free
4;4.1386220374976;R;L;0.21214733965631;0.43376118912247;0.74465903956934;-1;free
5;4.9352887041636;L;R;0.21264276409946;0.40869698648415;0.71666666666601;-1;free
6;5.7019553708295;R;L;0.20743591558837;0.49360164632749;0.82333333333258;-1;free
7;6.5252887041621;L;R;0.19355652805132;0.44969924383117;0.7699999999993;-1;free
8;7.2019553708282;R;L;0.18759464488194;0.48633850164365;0.80999999999926;-1;free
9;8.0252887041607;L;R;0.19914966360085;0.41817707490879;0.69999999999936;-1;free
10;8.79528870416;R;L;0.1977223232525;0.47238406696273;0.78333333333262;-1;free
11;9.5352887041594;L;R;0.20149915057926;0.4208421469684;0.72999999999934;-1;free
12;10.278622037492;R;L;0.18189901250188;0.47924206876709;0.75666666666598;-1;free
13;11.075288704158;L;R;0.16412909899567;0.45307838449433;0.75333333333265;-1;free
14;11.791955370824;R;L;0.16261650788787;0.48037433967544;0.7699999999993;-1;free
15;12.54862203749;L;R;0.17029104445667;0.45855885772659;0.7699999999993;-1;free
16;13.301955370823;R;L;0.19848853574089;0.42872738752322;0.71666666666601;-1;free
17;14.045288704155;L;R;0.17418724105603;0.45152104034378;0.76666666666597;-1;free
18;14.828622037488;R;L;0.16122511716748;0.44535624561264;0.7699999999993;-1;free
19;15.571955370821;L;R;0.16941323344731;0.46339124155014;0.78333333333262;-1;free
20;16.355011698733;R;L;0.15431224119884;0.44916984439687;0.71638966124556;-1;free
21;17.151678365399;L;R;0.17866891318971;0.4715336521146;0.79666666666594;-1;free
22;17.935011698731;R;L;0.17970660743487;0.46655792617772;0.78333333333262;-1;free
23;18.701678365397;L;R;0.16155761289624;0.49500362768146;0.82333333333258;-1;free
