step_number;time_stamp;limb_initial;limb_final;step_width;step_length;step_time;target_error;message
1;2.0677060357916;L;R;0.11369909071263;0.067132044679111;0.64999999999941;-1;free
2;2.8918610660664;R;L;0.18941148333887;0.60946173119842;0.98400170420302;-1;free
3;3.5918610660658;L;R;0.21943003641214;0.49831418691461;0.7441550302749;-1;free
4;4.2951943993985;R;L;0.21817138649012;0.47918411582272;0.63333333333276;-1;free
5;4.9694970839213;L;R;0.19287826559482;0.44240716900031;0.67763601785612;-1;free
6;5.632830417254;R;L;0.19857083863764;0.45241537179904;0.69999999999936;-1;free
7;7.7521235174157;L;R;0.2075002966486;1.5047637969605;2.294252457294;-1;free
8;8.4254568507484;R;L;0.19940270733857;0.52377788361975;0.51504064286712;-1;free
9;9.1146279905444;L;R;0.18828874746849;0.44965613295189;0.64666666666608;-1;free
10;9.857961323877;R;L;0.21718990696612;0.49903950188105;0.71583780646256;-1;free
11;10.597225192614;L;R;0.20051968698967;0.50739758329337;0.72999999999934;-1;free
12;11.273891859281;R;L;0.19758448470709;0.5022720015821;0.70259720207082;-1;free
13;11.96389185928;L;R;0.20111077955883;0.45871887801438;0.67333333333272;-1;free
14;12.650558525946;R;L;0.20056229854436;0.49649223416594;0.70333333333269;-1;free
15;13.351049645161;L;R;0.21909013725395;0.49346295302657;0.70333333333269;-1;free
16;14.056284257442;R;L;0.19753866560292;0.47529597721805;0.6723923981632;-1;free
17;14.757997820965;L;R;0.18248356019197;0.50708979556623;0.72838023018937;-1;free
18;15.417997820964;R;L;0.19519695384914;0.48284736957501;0.6599999999994;-1;free
19;16.067997820963;L;R;0.19490550406852;0.44302801767935;0.67666666666605;-1;free
20;16.754664487629;R;L;0.19968066479227;0.50405548108367;0.70333333333269;-1;free
21;17.444664487629;L;R;0.21992457424671;0.4739716864581;0.6599999999994;-1;free
22;18.104664487628;R;L;0.19212613874954;0.45546620407053;0.68999999999937;-1;free
23;18.754664487628;L;R;0.1876579796733;0.45708395592324;0.64666666666608;-1;free
24;19.441331154294;R;L;0.19563244390492;0.45930061273527;0.64999999999941;-1;free
25;20.130788104034;L;R;0.2021437915045;0.49346066112536;0.71257684816669;-1;free
26;20.7774547707;R;L;0.20172823784799;0.49441157309606;0.67688010157292;-1;free
27;21.454121437366;L;R;0.20399927155806;0.46490850235573;0.64666666666608;-1;free
28;22.102144260065;R;L;0.19379589881803;0.5014682487144;0.70384489463265;-1;free
29;22.832144260064;L;R;0.20920055658836;0.44761660121523;0.62084459473192;-1;free
30;23.532144260063;R;L;0.18602572795921;0.50765341040242;0.68666666666604;-1;free
31;24.194458142033;L;R;0.1827801445509;0.43689637276275;0.75666666666598;-1;free
32;24.854458142032;R;L;0.21804160716734;0.46198237670602;0.64898054863636;-1;free
33;25.611124808698;L;R;0.20487237943427;0.43722915188458;0.64666666666608;-1;free
34;26.285518935525;R;L;0.18922111580454;0.52578608724482;0.77106079349312;-1;free
35;26.975518935524;L;R;0.19560484782543;0.49406904258714;0.6599999999994;-1;free
36;27.648852268857;R;L;0.20999342558998;0.4810333739597;0.74333333333266;-1;free
37;28.471886472658;L;R;0.22737663580208;0.45296902809151;0.62303420380158;-1;Pert: iw (L)
38;29.121886472658;R;L;0.50147568161828;0.65626058355949;0.87666666666587;-1;action
39;29.838553139324;L;R;0.46349616805017;0.43927658980675;0.59333333333279;0.0021857156032667;target hit
40;30.511886472656;R;L;0.20428250652165;0.44865968809112;0.72999999999934;-1;free
41;31.201886472656;L;R;0.22687352387425;0.47718290602352;0.68666666666604;-1;free
42;31.915219805989;R;L;0.2193268720371;0.51934534533804;0.70333333333269;-1;free
43;32.618553139321;L;R;0.21228362089432;0.50304928258245;0.71333333333268;-1;free
44;33.308553139321;R;L;0.20381373396012;0.46227288996364;0.67666666666605;-1;free
45;33.981886472653;L;R;0.21559199058962;0.47434913374568;0.68666666666604;-1;free
46;34.724078362024;R;L;0.19867834003059;0.51449139245336;0.70333333333269;-1;Pert: fw (R)
47;35.560346571101;L;R;0.20978770017148;0.71674756957305;0.74219188937093;-1;action
48;36.235150824382;R;L;0.24153352896552;0.38146817063112;0.78293487574354;0.090674174609552;target hit
49;36.938484157715;L;R;0.24519685497995;0.49787145959437;0.72813758661448;-1;free
50;37.625150824381;R;L;0.23228762058381;0.47433464082067;0.70333333333269;-1;free
51;38.316137933448;L;R;0.22685596614929;0.46571196355297;0.67537917177231;-1;free
52;38.976474274024;R;L;0.22678220290469;0.48946001276564;0.70261094453735;-1;free
53;39.719720448789;L;R;0.21869414607624;0.47378256809239;0.6453297457283;-1;free
54;40.406387115455;R;L;0.21559927089121;0.46968285345624;0.71791642903656;-1;free
55;41.056387115455;L;R;0.19325229622346;0.50038712148652;0.69999999999936;-1;free
56;41.773053782121;R;L;0.18828743036978;0.49731226647681;0.66333333333273;-1;free
57;42.421122286624;L;R;0.18530122636051;0.45029630381252;0.68666666666604;-1;free
58;43.244455619957;R;L;0.21283893624957;0.50011679114474;0.70473517116966;-1;Pert: fwiw (R)
59;43.997788953289;L;R;0.42670937754396;0.7405070339837;0.80666666666593;-1;action
